,State,Police_Budget,Total_Budget, Percent_Police
1,Alabama,549090108,2418410104,22.70459039
2,Alaska,254924000,1100030000,23.17427707
3,Arizona,3141589826,9161253568,34.2921392
4,Arkansas,160401782,420201938,38.17254693
5,California,16247309616,58545141874,27.75176402
6,Colorado,1556485324,6574925946,23.67304722
7,Connecticut,703872436,5657192638,12.44208004
8,District of Columbia,999494000,21418132000,4.666578766
9,Florida,3579063370,13051048286,27.42357006
10,Georgia,970239354,3452948124,28.09886854
11,Hawaii,574796106,4047099908,14.20266658
12,Idaho,194523978,616145228,31.57112466
13,Illinois,4211065978,12163038398,34.6218259
14,Indiana,701379238,1822592394,38.48250658
15,Iowa,235307014,676416372,34.78730317
16,Kansas,548513940,1597204676,34.34211959
17,Kentucky,532230446,2203103306,24.15821557
18,Louisiana,765785048,2636037442,29.05061346
19,Maryland,1110168032,3985502000,27.85516183
20,Massachusetts,1133248116,7027656364,16.12554822
21,Michigan,1062576618,3563494756,29.8183859
22,Minnesota,647201824,1863110348,34.73770755
23,Mississippi,73493706,257612466,28.52878478
24,Missouri,947069288,2858393542,33.13292148
25,Montana,53522034,155182658,34.48970052
26,Nebraska,442930942,1294525714,34.21569284
27,Nevada,895616256,3125229176,28.65761855
28,New Hampshire,57479082,325091708,17.68088222
29,New Jersey,745852830,4102919244,18.17858909
30,New Mexico,445192000,1429042000,31.15317814
31,New York,10785101060,1.38036E+11,7.813263912
32,North Carolina,1653656590,5348808970,30.91635165
33,North Dakota,49255516,209041786,23.56252161
34,Ohio,1846788950,5440344874,33.94617424
35,Oklahoma,615616048,1973958090,31.18688543
36,Oregon,826653948,2740035600,30.16946013
37,Pennsylvania,1700492904,11768119114,14.44999738
38,Rhode Island,187861836,1079132710,17.40859435
39,South Carolina,249999626,925536002,27.01133456
40,South Dakota,86975776,371272984,23.42636813
41,Tennessee,1603033612,5313505990,30.16903745
42,Texas,8944005406,33800438392,26.46121125
43,Utah,311908706,1175349760,26.53752241
44,Virginia,1115227714,10889813648,10.24101743
45,Washington,1733108114,6790348686,25.52310926
46,Wisconsin,785950202,2122803278,37.02416565
